Year,Coast,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior
1970,Lake Erie,7960616,488693,9279163,1443499,505467
1971,Lake Erie,7984800,503700,9340400,1452200,512700
1972,Lake Erie,7939300,512300,9351700,1461100,514400
1973,Lake Erie,7866800,519600,9310100,1457600,513900
1974,Lake Erie,7797900,525900,9300500,1453700,512900
1975,Lake Erie,7743500,529900,9278300,1463700,517200
1976,Lake Erie,7664100,534700,9288100,1466700,525400
1977,Lake Erie,7606500,539500,9278000,1467000,527600
1978,Lake Erie,7552100,538600,9254200,1462300,520200
1979,Lake Erie,7499400,539600,9224600,1458500,520600
1980,Lake Erie,7461715,537419,9189185,1448962,518000
1981,Lake Erie,7369174,542668,9168360,1449849,519503
1982,Lake Erie,7298897,536589,9159098,1450917,515144
1983,Lake Erie,7241878,531744,9134097,1452293,506011
1984,Lake Erie,7208304,531399,9137333,1446156,498300
1985,Lake Erie,7184076,529749,9129018,1446793,491313
1986,Lake Erie,7170345,530342,9115231,1447669,484211
1987,Lake Erie,7154966,532287,9118094,1449604,481411
1988,Lake Erie,7118601,533854,9120414,1465510,479421
1989,Lake Erie,7110808,536040,9141355,1483878,481569
1990,Lake Erie,7101876,540418,9164656,1496112,483560
1991,Lake Erie,7129265,544346,9222538,1504246,486109
1992,Lake Erie,7154414,547199,9289202,1514901,488406
1993,Lake Erie,7169783,545146,9335449,1521444,488875
1994,Lake Erie,7172895,546805,9369147,1521751,488035
1995,Lake Erie,7181493,550860,9402899,1518476,481269
1996,Lake Erie,7188868,554363,9435769,1515408,479635
1997,Lake Erie,7165848,557563,9455301,1509742,479744
1998,Lake Erie,7138631,560280,9479394,1502874,478651
1999,Lake Erie,7115935,563644,9502359,1497477,478455
2000,Lake Erie,7132029,575426,9811843,1524388,491007
2001,Lake Erie,7135610,575135,9843818,1520680,491320
2002,Lake Erie,7126654,574821,9852296,1521250,490027
2003,Lake Erie,7115155,574939,9848699,1518475,488095
2004,Lake Erie,7096745,574829,9847403,1516427,486807
2005,Lake Erie,7066662,572745,9833772,1511743,484551
2006,Lake Erie,7032032,571164,9821720,1508118,483105
2007,Lake Erie,6992532,568599,9837523,1507636,483227
2008,Lake Erie,6947897,564656,9876034,1507519,483902
2009,Lake Erie,6918847,559752,9923144,1510939,484156
2010,Lake Erie,6800821,557491,9809196,1528130,490168
2011,Lake Erie,6779309,554535,9827527,1531435,490741
2012,Lake Erie,6767435,551350,9851744,1533623,490241
2013,Lake Erie,6755399,548971,9877729,1531500,489784
2014,Lake Erie,6742557,546813,9886569,1527656,488722
2015,Lake Erie,6739435,543279,9885893,1515459,485577
2016,Lake Erie,6728257,540851,9864875,1506327,483336
2017,Lake Erie,6717875,538921,9842791,1502527,482831
2018,Lake Erie,6708689,538060,9817678,1498608,481724
2019,Lake Erie,6693917,536603,9799163,1492595,479698
