Commercial Fishing Engagement,,,,,,,
% Moderately/Highly Engaged,,,,,,,
Year,Alaska,Hawaii-Pacific Islands,California Current,Northeast US,Southeast US,Gulf of Mexico,Nationwide
2009,20.3,65,8.3,11.2,20,20.6,13.63
2010,19.7,47.7,6.9,12,23.3,24.1,14.08
2011,22.5,52.3,7.2,11.8,23.3,24.1,14.31
2012,23.1,56.8,6.7,11.4,21.1,18.7,13.28
2013,23.4,59.1,5.5,12.2,22.7,20.4,13.89
2014,23.1,52.3,7,11.3,20.3,17.4,12.89
2015,22.3,56.8,6.8,11.4,21.4,19,13.36
2016,23.4,54.5,6.4,11.4,21.1,19.3,13.37
2017,22.9,45.5,6.8,11,22,17.9,12.9
2018,24.3,45.5,7,10.5,18.4,16.4,12.3
2019,24.6,45.5,7.7,10.7,17.3,15.5,12.4
