Total Coastal Employment,,,,,,,,,,,,,,
Millions of Employees,,,,,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Lake Erie,Lake Huron,Lake Ontario,Lake Superior,Lake Michigan,Great Lakes,Northeast,Southeast,National
2005,0.257625,13.284131,0.892841,6.105204,0.603269,1.792316,0.162846,0.598926,0.102173,1.398633,4.054894,18.481698,4.114315,51.848871
2006,0.262419,13.549879,0.876179,6.214854,0.617661,1.766207,0.160471,0.596628,0.101999,1.401276,4.026581,18.706009,4.21344,52.493603
2007,0.265186,13.707855,0.859868,6.354862,0.625078,1.740327,0.158095,0.597332,0.101266,1.402837,3.999857,18.946414,4.241477,53.000454
2008,0.269478,13.667996,0.844928,6.327688,0.618749,1.703142,0.15495,0.596942,0.10051,1.394502,3.950046,18.932032,4.16987,52.730833
2009,0.268984,12.897799,0.803774,6.071193,0.591399,1.589349,0.143941,0.580993,0.096603,1.315615,3.726501,18.275407,3.922953,50.284511
2010,0.271771,12.721878,0.785348,6.015734,0.586005,1.588557,0.142295,0.579913,0.09623,1.309821,3.716816,18.242825,3.885472,49.942665
2011,0.276522,12.863343,0.779376,6.104945,0.593094,1.618323,0.143863,0.583693,0.0946,1.326222,3.766701,18.413476,3.938815,50.502973
2012,0.281272,13.200471,0.78679,6.251042,0.604614,1.64251,0.14752,0.586217,0.096088,1.338946,3.811281,18.670553,4.016241,51.433545
2013,0.283075,13.55924,0.77525,6.412508,0.617499,1.654614,0.146086,0.586331,0.096288,1.353939,3.837258,18.923756,4.106935,52.352779
2014,0.284792,13.905223,0.7629,6.5982,0.625308,1.668856,0.14709,0.589907,0.095191,1.372775,3.873819,19.210763,4.226264,53.361088
2015,0.285053,14.30633,0.754253,6.741244,0.637025,1.691417,0.146465,0.594271,0.094339,1.394459,3.920951,19.568789,4.364471,54.499067
2016,0.278741,14.685524,0.750589,6.789699,0.646727,1.711149,0.147795,0.599589,0.093874,1.412983,3.96539,19.886157,4.494295,55.462512
2017,0.274752,14.945437,0.733243,6.839799,0.653072,1.724203,0.146763,0.597504,0.09383,1.424164,3.986464,20.159162,4.588903,56.167296
2018,0.273765,15.231291,0.722788,6.946957,0.657006,1.736308,0.145891,0.602179,0.09405,1.435765,4.014193,20.453017,4.696191,57.009401
2019,0.276118,15.481856,0.738644,6.993432,0.657526,1.746722,0.146682,0.603546,0.094125,1.435546,4.026621,21.187831,4.856234,58.244883
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
