Atlantic Mendaden Adults (age 1+),,,,,
CPUE Index Value,Southern CCE Realtive Coolwater Abundance of,Aggregate Forage Fish Biomass,Millions of Tons,kg tow^-1,CPUE Index Score
Year,Southern CCE,Alaska - Eastern Bering Sea,Gulf of Mexico,Northeast US,Southeast US
1978,2.7372427,NA,NA,7.782484875,NA
1979,NA,NA,NA,6.407746921,NA
1980,NA,NA,1.11065,6.236510487,NA
1981,2.35974,NA,1.60277,13.95025414,NA
1982,NA,NA,1.98164,4.565949911,NA
1983,2.4630692,NA,1.69186,6.189419331,NA
1984,2.1735024,NA,1.60515,6.201234315,NA
1985,1.9728136,NA,2.10757,6.207784632,NA
1986,2.4242067,NA,1.74024,8.6172566,NA
1987,2.6927068,2818,1.43852,9.441604272,NA
1988,1.9400002,6158,1.0457,10.63843197,NA
1989,2.4545722,2572,1.04385,5.217221054,NA
1990,1.9653859,7813,1.2126,5.754805189,3.69
1991,2.5646052,10980,1.03851,10.7627043,1.16
1992,2.8640823,11628,0.97078,9.937306565,0.86
1993,2.4522464,NA,1.64449,13.98509516,0.47
1994,2.651261,7491,1.94131,10.41631963,0.36
1995,2.3881567,7835,1.66579,10.48363005,0.17
1996,2.846193,4778,1.75297,13.99593128,0.27
1997,2.8643703,9290,2.08088,11.14461671,0.22
1998,3.4700994,6684,1.90191,9.822046747,0.75
1999,2.2472723,3669,2.36373,18.26808893,0.25
2000,1.96188,6453,2.36112,10.67285047,0.85
2001,2.0063436,6273,1.99398,17.88824082,0.81
2002,2.1413093,7004,1.83139,12.40043269,0.89
2003,1.451567,12060,1.54585,14.7635954,1.08
2004,2.1159103,11217,1.83465,10.76806642,0.45
2005,2.0683267,4742,1.85684,7.239352411,1.2
2006,1.9247913,4845,2.21763,12.57563466,3.19
2007,2.059996,4674,3.01993,10.93529647,0.41
2008,1.5340897,3083,3.1271,13.78155804,0.63
2009,2.1072729,3451,2.10581,17.61385421,2.34
2010,1.9054282,10022,2.14054,11.45372854,0.8
2011,1.891056,11479,3.37373,13.49449353,1.45
2012,1.8335755,9387,4.3873,11.29402664,1.22
2013,2.3592854,10697,3.8522,8.863355513,0.86
2014,2.3405857,11075,3.03135,7.25623116,0.8
2015,3.511075,9746,5.29388,21.62570609,1.16
2016,3.164177,4031,NA,11.60057936,0.33
2017,2.9185314,1968,NA,15.86265217,1.33
2018,2.7642658,742,NA,10.80410424,NA
2019,3.2999475,2110,NA,11.38572355,NA
2020,NA,NA,NA,6.318794509,NA
2021,NA,796,NA,15.82096901,NA
2022,NA,NA,NA,14.37051429,NA
