Heatwave Spatial Coverage,,,,,,,,,,,,,,,,,,,,,
Monthly % of LME Impacted,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
Jan1982,0.09,0.77,0.32,0.19,0.07,0.01,1.00,0.37,0.55,0.00,0.00,2.57,1.28,1.64,0.04,0.00,3.60,0.00,0.18,0.00,0.18
Feb1982,0.16,4.35,0.69,1.86,0.57,0.05,5.54,6.01,0.27,0.00,7.60,1.60,2.16,9.05,0.89,0.00,5.07,0.00,0.00,0.00,2.23
Mar1982,0.30,5.34,1.08,14.41,0.03,0.01,15.08,5.14,0.33,0.00,0.45,2.93,3.00,6.05,0.00,0.00,6.00,0.00,0.08,0.00,0.22
Apr1982,1.65,8.32,1.69,9.54,0.00,0.00,3.52,6.57,0.08,0.00,0.00,0.00,0.00,0.00,1.42,0.03,5.65,0.00,1.48,0.00,0.00
May1982,0.58,1.50,0.86,1.41,0.44,0.00,1.49,0.15,0.07,0.00,0.00,0.00,0.15,0.00,0.00,1.00,13.89,2.94,0.81,0.00,0.05
Jun1982,0.02,2.22,0.18,1.73,0.20,0.04,0.10,0.13,2.42,0.00,0.00,0.00,0.00,0.00,0.30,7.95,17.03,11.10,1.35,0.00,0.04
Jul1982,0.05,3.57,0.04,5.83,0.15,0.02,0.00,0.44,0.53,0.00,0.00,0.00,0.00,0.00,0.02,7.33,2.63,8.42,0.38,0.00,0.00
Aug1982,0.03,0.94,0.01,0.39,0.00,0.00,0.00,0.03,0.19,0.00,0.00,0.00,0.00,0.00,0.00,26.85,1.00,0.55,0.10,0.07,0.04
Sep1982,0.22,0.66,0.01,2.46,0.00,0.18,0.00,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,43.01,1.50,0.61,0.00,0.00,0.07
Oct1982,0.78,0.24,0.21,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,64.67,0.36,0.03,0.93,0.00,0.08
Nov1982,3.09,0.94,0.07,0.29,0.36,0.00,0.00,0.02,0.11,0.00,0.00,0.06,0.00,0.00,0.06,13.46,0.25,0.00,1.23,0.00,0.00
Dec1982,4.91,4.44,0.02,0.84,1.82,0.00,0.02,0.70,0.29,0.39,0.03,1.39,0.08,2.70,0.21,1.03,0.00,0.00,0.88,0.00,0.00
Jan1983,8.45,1.78,0.33,7.17,4.66,0.17,0.22,0.22,0.00,5.87,10.13,25.62,24.83,10.88,1.71,15.45,0.10,0.40,0.00,0.00,0.00
Feb1983,15.69,1.14,0.88,4.47,8.79,0.47,0.08,0.07,0.00,0.22,5.48,13.17,6.73,2.37,3.24,38.30,0.52,0.62,0.00,0.00,0.00
Mar1983,9.38,0.31,1.09,0.00,6.85,11.44,0.94,0.14,0.58,43.01,19.80,32.94,50.94,14.73,0.07,31.14,2.89,2.32,0.10,0.00,0.00
Apr1983,3.09,0.03,0.52,0.32,3.30,11.22,5.94,0.77,0.17,0.20,0.46,3.36,3.33,1.80,0.00,0.94,0.04,1.68,0.01,0.00,0.06
May1983,1.66,0.06,1.57,0.04,2.20,6.02,0.94,1.64,0.05,0.49,0.00,0.16,0.00,0.00,0.01,8.18,0.21,0.96,0.00,0.00,0.00
Jun1983,2.50,0.99,4.93,0.06,1.65,3.15,1.14,0.95,0.11,2.42,0.00,0.51,7.52,0.00,0.00,0.53,0.00,0.20,0.00,0.00,0.00
Jul1983,4.66,1.14,1.21,0.44,0.46,1.70,3.96,1.45,0.17,0.00,7.89,4.02,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00
