Heatwave Degree Days,,,,,,,,,,,,,,,,,,,,,,
Time-Integrated SSTA,,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Great Lakes,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
1982,12.38,19.73,6.41,18.33,15.69,6.62,2.48,14.32,5.37,9.24,0.85,10.86,6.95,5.05,6.3,3.43,49.3,21.73,7.92,8.54,1.69,3.35
1983,52.38,11.61,8.63,14.84,28.58,29.39,22.78,16.01,6.78,4.72,29.46,25.98,38.74,44.02,19.65,3.53,35.17,2.85,5.94,1.23,3.18,3.62
1984,17.58,5.67,3.11,13.07,21.36,5.63,19.31,14.29,4.68,18.23,3.99,3.13,5.09,9.7,3.38,3.75,3.22,0.56,1.3,4.67,13.21,9.84
1985,8.33,4.94,5.69,8.74,19.67,4.26,5.31,10.88,4.92,3.47,4.86,3.54,3.33,9.85,2.58,1.59,NA,0.76,NA,0.64,2.79,1.39
1986,7.77,8.14,3.78,15.96,17.29,8.03,21.43,4.93,3.26,9.56,NA,1.22,5.11,13.43,7.14,0.96,2,2.12,6.39,7.57,0.66,1.76
1987,7.83,2.71,3.46,6.15,6.98,22.54,8.18,9.63,1.65,6.39,17.09,23.29,18.3,10.38,30.43,0.8,52.15,5.51,15.4,3.38,2.63,5.2
1988,3.89,4.45,2.6,3.43,5.23,9.51,3.85,3.59,3.32,8.17,7.6,14.26,9.3,7.24,1.87,2.29,1.38,1.62,2.08,2.71,2,10.08
1989,8.68,7.44,2.2,4.95,8.27,2.06,10.66,5.21,7.76,4.75,NA,0.84,1.46,2.77,1.41,2.05,NA,0.8,0.41,3.13,2.24,5.31
1990,17.93,7.25,2.35,12.96,21.39,3.9,9.93,3.93,7.95,2.05,4.03,2.81,1.35,0.83,2.21,1.86,NA,6.51,3.3,2.02,1.1,2.74
1991,6.21,12.67,2.64,11.15,16.31,19.84,5.41,7.95,12.4,6.25,36.89,18.84,9.94,35.44,3.23,4.71,44.22,16.82,10.05,2.98,3.16,1.93
