Coastal County Population,,,,,,,,,,,,,,
Population (Millions),,,,,,,,,,,,,,
Year,Alaska,California Current,Great Lakes,Gulf of Mexico,Hawai`i,Northeast,Southeast,Caribbean,National,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior
1970,0.2224860,18.3357580,19.6774380,6.9392880,0.7699130,26.3837120,2.7913710,NA,75.119966,7.960616,0.488693,9.279163,1.443499,0.505467
1971,0.2344000,18.6103000,19.7938000,7.1997000,0.8012000,26.6509000,2.8976000,NA,76.1879,7.984800,0.503700,9.340400,1.452200,0.512700
1972,0.2439000,18.7526000,19.7788000,7.4228000,0.8276000,26.7379000,2.9987000,NA,76.7623,7.939300,0.512300,9.351700,1.461100,0.514400
1973,0.2495000,18.9728000,19.6680000,7.6418000,0.8506000,26.6838000,3.1459000,NA,77.2124,7.866800,0.519600,9.310100,1.457600,0.513900
1974,0.2584000,19.2245000,19.5909000,7.8433000,0.8666000,26.6403000,3.3061000,NA,77.7301,7.797900,0.525900,9.300500,1.453700,0.512900
1975,0.2799000,19.5259000,19.5326000,8.0678000,0.8844000,26.6282000,3.3950000,NA,78.3138,7.743500,0.529900,9.278300,1.463700,0.517200
1976,0.2968000,19.8374000,19.4790000,8.2811000,0.9021000,26.6374000,3.4626000,NA,78.8964,7.664100,0.534700,9.288100,1.466700,0.525400
1977,0.3024000,20.1470000,19.4186000,8.4788000,0.9158000,26.5835000,3.5253000,NA,79.3714,7.606500,0.539500,9.278000,1.467000,0.527600
1978,0.3078000,20.5298000,19.3274000,8.6983000,0.9289000,26.5153000,3.6274000,NA,79.9349,7.552100,0.538600,9.254200,1.462300,0.520200
1979,0.3097000,20.8508000,19.2427000,8.9468000,0.9500000,26.4836000,3.7578000,NA,80.5414,7.499400,0.539600,9.224600,1.458500,0.520600
1980,0.3161870,21.1962060,19.1552810,9.1471310,0.9646910,26.4532270,3.8623990,NA,81.095122,7.461715,0.537419,9.189185,1.448962,0.518000
1981,0.3291920,21.6859070,19.0495540,9.4966890,0.9781950,26.6295270,4.0273040,NA,82.196368,7.369174,0.542668,9.168360,1.449849,0.519503
1982,0.3555080,22.0626390,18.9606450,9.8279180,0.9937800,26.7344660,4.1361260,NA,83.071082,7.298897,0.536589,9.159098,1.450917,0.515144
1983,0.3860630,22.4520080,18.8660230,10.0427990,1.0127170,26.9759270,4.2321790,NA,83.967716,7.241878,0.531744,9.134097,1.452293,0.506011
1984,0.4078120,22.8009690,18.8214920,10.1560540,1.0279220,27.2144080,4.3388920,NA,84.767549,7.208304,0.531399,9.137333,1.446156,0.498300
1985,0.4230060,23.2306410,18.7809490,10.2642250,1.0396980,27.4189380,4.4527220,NA,85.610179,7.184076,0.529749,9.129018,1.446793,0.491313
1986,0.4327500,23.7332800,18.7477980,10.4086570,1.0517620,27.6623720,4.5806640,NA,86.617283,7.170345,0.530342,9.115231,1.447669,0.484211
1987,0.4270190,24.2174280,18.7363620,10.4394490,1.0679170,27.8787950,4.7105000,NA,87.47747,7.154966,0.532287,9.118094,1.449604,0.481411
1988,0.4275600,24.7027510,18.7178000,10.4756830,1.0798270,28.0758420,4.8342100,NA,88.313673,7.118601,0.533854,9.120414,1.465510,0.479421
1989,0.4306710,25.2075800,18.7536500,10.5891240,1.0945880,28.1877790,4.9499670,NA,89.213359,7.110808,0.536040,9.141355,1.483878,0.481569
1990,0.4379970,25.6302610,18.7866220,10.7641030,1.1127030,28.2591020,7.0447890,NA,92.035577,7.101876,0.540418,9.164656,1.496112,0.483560
1991,0.4509490,25.9058030,18.8865040,10.9449350,1.1314120,28.3197830,7.1984670,NA,92.837853,7.129265,0.544346,9.222538,1.504246,0.486109
1992,0.4662630,26.2542480,18.9941220,11.1087790,1.1499260,28.4287170,7.3302690,NA,93.732324,7.154414,0.547199,9.289202,1.514901,0.488406
1993,0.4750720,26.4595430,19.0606970,11.2642630,1.1615080,28.5692420,7.4279340,NA,94.418259,7.169783,0.545146,9.335449,1.521444,0.488875
1994,0.4778310,26.5653440,19.0986330,11.4092050,1.1739030,28.6794330,7.5565180,NA,94.960867,7.172895,0.546805,9.369147,1.521751,0.488035
1995,0.4800190,26.7028560,19.1349970,11.5283280,1.1804900,28.8025590,7.6763130,NA,95.505562,7.181493,0.550860,9.402899,1.518476,0.481269
1996,0.4826600,26.9326230,19.1740430,11.6449280,1.1844340,28.9236380,7.8177340,NA,96.16006,7.188868,0.554363,9.435769,1.515408,0.479635
1997,0.4869840,27.3125180,19.1681980,11.7903320,1.1893220,29.0588410,7.9556390,NA,96.961834,7.165848,0.557563,9.455301,1.509742,0.479744
1998,0.4925200,27.6882900,19.1598300,11.9388290,1.1904720,29.1935100,8.0662530,NA,97.729704,7.138631,0.560280,9.479394,1.502874,0.478651
1999,0.4972630,28.0136960,19.1578700,12.0657580,1.1854970,29.3622300,8.1769070,NA,98.459221,7.115935,0.563644,9.502359,1.497477,0.478455
2000,0.5231300,28.6930250,19.5346930,12.5938950,1.2115660,30.7260930,8.5813280,NA,101.86373,7.132029,0.575426,9.811843,1.524388,0.491007
2001,0.5270740,28.9914210,19.5665630,12.7676610,1.2183050,30.9810460,8.7327290,NA,102.784799,7.135610,0.575135,9.843818,1.520680,0.491320
2002,0.5343560,29.1640610,19.5650480,12.9704680,1.2280690,31.2083420,8.8952170,NA,103.565561,7.126654,0.574821,9.852296,1.521250,0.490027
2003,0.5405310,29.2981140,19.5453630,13.1472130,1.2392980,31.4020750,9.0286470,NA,104.201241,7.115155,0.574939,9.848699,1.518475,0.488095
2004,0.5476790,29.3888260,19.5222110,13.3665500,1.2527820,31.5686570,9.2065910,NA,104.853296,7.096745,0.574829,9.847403,1.516427,0.486807
2005,0.5532070,29.4523030,19.4694730,13.5895390,1.2661170,31.6868780,9.3737300,NA,105.391247,7.066662,0.572745,9.833772,1.511743,0.484551
2006,0.5606270,29.5143510,19.4161390,13.4739300,1.2755990,31.7869180,9.4784670,NA,105.506031,7.032032,0.571164,9.821720,1.508118,0.483105
2007,0.5622910,29.6538350,19.3895170,13.7475120,1.2768320,31.9288190,9.5495940,NA,106.1084,6.992532,0.568599,9.837523,1.507636,0.483227
2008,0.5677630,29.9496880,19.3800080,13.9499410,1.2874810,32.0799890,9.6309070,NA,106.845777,6.947897,0.564656,9.876034,1.507519,0.483902
2009,0.5777120,30.2669310,19.3968380,14.1159630,1.2951780,32.2747770,9.7131760,NA,107.640575,6.918847,0.559752,9.923144,1.510939,0.484156
2010,0.5937350,30.4570900,19.1858060,14.3244360,1.3639500,32.2730560,9.8279950,NA,108.026068,6.800821,0.557491,9.809196,1.528130,0.490168
2011,0.6021590,30.7632890,19.1835470,14.5103820,1.3782510,32.5219430,9.9874760,NA,108.947047,6.779309,0.554535,9.827527,1.531435,0.490741
2012,0.6082730,31.0875320,19.1943930,14.7047790,1.3927660,32.7427290,10.1234910,NA,109.853963,6.767435,0.551350,9.851744,1.533623,0.490241
2013,0.6139440,31.4221860,19.2033830,14.9244090,1.4089870,32.9578030,10.2502700,NA,110.780982,6.755399,0.548971,9.877729,1.531500,0.489784
2014,0.6149660,31.7328140,19.1923170,15.1583380,1.4195610,33.1142030,10.3903660,NA,111.622565,6.742557,0.546813,9.886569,1.527656,0.488722
2015,0.6122050,31.8889280,19.1696430,15.4362950,1.4220520,33.0850120,10.5078040,2.141249,114.263188,6.739435,0.543279,9.885893,1.515459,0.485577
2016,0.6150470,32.1248160,19.1236460,15.6764940,1.4275590,33.1478800,10.6891650,2.096549,114.901156,6.728257,0.540851,9.864875,1.506327,0.483336
2017,0.6141400,32.2811610,19.0849450,15.8507630,1.4243930,33.1873450,10.8341970,2.042951,115.319895,6.717875,0.538921,9.842791,1.502527,0.482831
2018,0.6106790,32.3473910,19.0447590,15.9864660,1.4205930,33.1909970,10.9330190,1.960208,115.494112,6.708689,0.538060,9.817678,1.498608,0.481724
2019,0.6088960,32.3762860,19.0019760,16.1238910,1.4158720,33.1723810,11.0299340,1.956003,115.685239,6.693917,0.536603,9.799163,1.492595,0.479698
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
