Recreational Fishing Effort,,,,,,,,
Million Angler Trips,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Northeast,Southeast,National
1981,NA,NA,NA,26.083323,NA,44.092109,43.097652,113.273084
1982,NA,10.801412,NA,32.46005,NA,46.825818,54.611178,144.698458
1983,NA,10.53552,NA,38.132044,NA,44.621334,56.811404,150.100302
1984,NA,10.093577,NA,39.670444,NA,43.930032,56.040452,149.734505
1985,NA,9.880268,NA,38.983566,NA,45.246152,54.775548,148.885534
1986,NA,10.939042,NA,34.074143,NA,45.302028,57.528133,147.843346
1987,NA,9.947545,NA,34.660256,NA,43.666607,59.273451,147.547859
1988,NA,12.337765,NA,39.594243,NA,43.867932,55.391411,151.191351
1989,NA,9.379307,NA,41.721013,NA,43.535926,56.241364,150.87761
1990,NA,NA,NA,40.340968,NA,46.336929,57.823411,144.501308
1991,NA,NA,NA,48.08033,NA,47.970472,59.750559,155.801361
1992,NA,0.033402,NA,41.787335,NA,47.286397,61.36775,150.474884
1993,NA,7.115032,NA,46.701443,NA,50.520619,59.819746,164.15684
1994,NA,7.239011,NA,46.292424,NA,51.87445,59.443691,164.849576
1995,NA,7.315906,NA,44.176445,NA,52.910546,55.74106,160.143957
1996,0.744113,7.292813,NA,43.747035,NA,53.629592,58.384201,163.797754
1997,0.816469,7.325976,NA,44.709767,NA,57.277216,60.576566,170.705994
1998,0.703308,6.964844,NA,47.2935,NA,56.761869,59.597638,171.321159
1999,0.924592,6.051532,NA,53.027945,NA,61.115482,60.131182,181.250733
2000,0.978083,8.009885,1.362704,55.683716,NA,64.740769,67.451588,198.226745
2001,0.889144,0.206477,1.411943,58.326726,NA,68.261443,67.2577,196.353433
2002,0.855447,0.193006,1.301059,54.116565,NA,66.90055,68.756879,192.123506
2003,0.86805,0.218318,1.111405,58.021786,2.402259,70.015727,69.503899,202.141444
2004,1.00743,0.398259,1.050298,65.631742,2.870791,70.741391,69.861835,211.561746
2005,1.054442,4.353346,0.866723,58.065493,2.470403,72.605077,74.819036,214.23452
2006,0.940801,4.38234,0.955123,54.525538,2.644092,72.072087,78.776649,214.29663
2007,1.05266,3.756308,1.080097,58.340862,2.576671,72.472211,76.781235,216.060044
2008,0.934918,3.656677,0.798551,60.031379,2.530598,73.916746,76.167326,218.036195
2009,0.913768,4.176155,0.636151,56.737966,2.163026,75.395697,78.605258,218.628021
2010,0.811124,3.847037,0.536183,60.507536,2.39023,79.409322,79.860985,227.362417
2011,0.811765,3.456186,0.424587,61.758127,1.381713,76.485466,76.673568,220.991412
2012,0.808342,4.455909,0.350568,66.5305,1.519488,75.666751,69.33394,218.665498
2013,0.979726,4.358406,0.510262,68.173967,1.512876,70.876982,68.462896,214.875115
2014,0.960217,3.875322,0.5345,49.41858,1.374405,70.439756,75.376673,201.979453
2015,0.975161,3.852425,0.667561,47.153293,1.431048,64.628776,75.789429,194.497693
2016,0.86367,3.691147,0.653614,50.973931,1.024198,65.840716,73.069413,196.116689
2017,0.896749,3.736543,0.336304,55.181217,1.279884,62.754507,76.869011,201.054215
2018,0.860955,2.362815,NA,52.232005,3.420697,54.134008,75.100982,188.111462
2019,0.937982,2.379159,NA,46.548496,3.479082,60.18507,69.328994,182.858783
2020,NA,1.818234,NA,53.118428,3.901794,65.138311,70.459383,194.43615
,,,,,,,,
