Recreational Fishing Engagement,,,,,,
% Moderately/Highly Engaged,,,,,,
Year,Alaska,Hawaii Pacific Islands,Northeast US,Southeast US,Gulf of Mexico,Nationwide
2009,12.7,NaN,15.3,27.8,23.4,17.7
2010,11.7,29.5,12.6,21.4,20.6,15.1
2011,11.8,31,12,22.7,22.1,15.3
2012,12.5,33.3,12.1,21.1,16.3,14.2
2013,12.2,31,11.6,19.9,19,14.4
2014,12.2,34.1,11.5,19.5,20.3,14.5
2015,11.3,31,11.9,21.8,16.1,13.8
2016,12.2,26.2,12.1,19.6,16.2,15.6
2017,11.4,23.8,11.5,21.7,11.6,12.6
2018,12.1,23.8,10.9,21.5,15.7,13.3
2019,12.1,26.2,12.2,21.5,14.4,13.8
