Coastline Hospitality and Recreation Sector GDP,,,,,,,,,,,,,
Percent Change,,,,,,,,,,,,,
Year,Alaska,California Current,Gulf of Mexico,HI,Northeast,Southeast,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Great Lakes,National
2006,0.755037725,2.37615984,0.983091049,1.840193705,4.480038178,4.026497833,7.421774682,-4.776175182,2.882916404,2.652090857,-0.432069683,1.549707416,2.287246535
2007,-1.479210219,-0.868477288,2.078006596,-0.221905215,-0.414703256,2.371301014,2.986045762,3.438947745,0.248990606,1.567588898,0.334992112,1.715313025,0.454332094
2008,-1.321227592,-1.254832053,-2.280425903,-6.306592534,-1.252162921,-3.775632958,-2.566763909,-6.38299805,-2.307001625,-1.666661104,-6.39804004,-3.864292945,-2.865023844
2009,-6.520136301,-8.579883763,-5.602097656,-10.96982028,-6.195107551,-9.788370521,-0.782081004,1.787685473,0.936391318,0.218647207,3.63597234,1.159323067,-6.642299001
2010,4.175702152,3.421587793,3.429724215,4.037326224,4.61807814,1.749417622,0.596716619,-0.623457772,0.897661597,2.307147797,1.493660272,0.934345703,3.195168836
2011,7.287815413,5.921211621,4.386880523,7.578253707,4.842627531,5.393766672,0.440933665,-3.646258585,-0.870103937,1.108181986,-2.857025709,-1.164854516,4.892242993
2012,2.574012281,3.11551699,3.132658522,5.291815552,2.997745899,2.395250731,1.122806068,2.15619491,1.553203901,1.636182473,2.389622238,1.771601918,3.03980027
2013,1.550057388,0.840361966,2.920634554,4.07239819,-0.732184334,1.156927294,0.052613081,5.722533075,5.792490002,7.45599075,1.282231031,4.061171588,1.981338092
2014,2.618595415,5.299988065,3.243272872,2.065217391,3.646969971,3.347041316,2.73076751,-5.89924514,2.3989601,2.525028975,5.128751435,1.376852576,3.085419658
2015,5.600635855,7.766499268,0.047186689,3.52959075,1.648199128,7.128447171,3.441599326,0.952348611,2.042719196,4.186682024,3.405945257,2.805858883,4.075202535
2016,2.337408989,9.315241228,4.764413474,6.348273328,11.32833622,5.135219272,7.853552562,9.139004261,1.818096569,13.26533496,2.135986558,6.842394981,6.581612499
2017,-1.806789476,2.297526318,1.029172094,3.969877021,3.080673989,0.032487363,1.926899636,0.282404138,2.063442302,-9.241786137,0.560261871,-0.881755638,1.103027382
2018,-0.602568483,6.177320528,1.395418454,12.79986178,6.621784467,7.145699644,3.571689024,6.246967759,10.13223907,11.22600068,6.591189573,7.553617223,5.870161945
